"","exp_beta","weibull_beta","cox_beta","dist","gamma","n"
"1",0.171992095075751,0.168050799170199,0.153677588658241,"weibull",0.5,100
"2",-0.485308374113029,-0.475048056773932,-0.47126706133268,"weibull",0.5,100
"3",-0.736713641773009,-0.72636989294432,-0.713549991127954,"weibull",0.5,100
"4",-0.466489460797859,-0.4295424004746,-0.411174219149032,"weibull",0.5,100
"5",-0.673742876819204,-0.649617339671919,-0.642234194825506,"weibull",0.5,100
"6",-0.249644242930847,-0.243473879430639,-0.238923396426519,"weibull",0.5,100
"7",0.285681179739847,0.28282133214155,0.278850198295452,"weibull",0.5,100
"8",-2.3575673916976,-2.26700745264868,-2.22916301471873,"weibull",0.5,100
"9",-0.328456293301313,-0.320781103629399,-0.315758216239473,"weibull",0.5,100
"10",-1.28742399426384,-1.24957560578032,-1.24291132875667,"weibull",0.5,100
"11",-0.032037938083086,-0.037811019310747,-0.0345394118662384,"weibull",0.5,100
"12",-0.517270235937965,-0.498502948433142,-0.481122455081194,"weibull",0.5,100
"13",-0.555841522250227,-0.525307322570729,-0.516974068476002,"weibull",0.5,100
"14",-1.07143371335734,-1.05551548355647,-1.04506066057724,"weibull",0.5,100
"15",-0.545693869948174,-0.540025086184326,-0.537855156579151,"weibull",0.5,100
"16",-0.722360170315657,-0.708222229348638,-0.690611739765413,"weibull",0.5,100
"17",-0.292180421086698,-0.291565002690183,-0.287742094520722,"weibull",0.5,100
"18",-0.840582758484566,-0.811729802491555,-0.804687028175935,"weibull",0.5,100
"19",-0.331861959923101,-0.312712866694872,-0.304178048492833,"weibull",0.5,100
"20",-0.537990217384875,-0.538913901204936,-0.546274455930573,"weibull",0.5,100
"21",-0.97508590280075,-0.957541557039785,-0.946899695519982,"weibull",0.5,100
"22",-0.47728246527344,-0.471542568632724,-0.462363521236976,"weibull",0.5,100
"23",0.211178027901766,0.214004148338459,0.209588686200473,"weibull",0.5,100
"24",0.164146049713583,0.150640409175614,0.140372474290204,"weibull",0.5,100
"25",0.00668708097324736,-0.00518199757367102,-0.00754493025084985,"weibull",0.5,100
"26",-0.314340298292605,-0.307896983076411,-0.308530089978817,"weibull",0.5,100
"27",-0.196947879841074,-0.189303034516584,-0.195527555903174,"weibull",0.5,100
"28",-0.658607115776454,-0.638021154911614,-0.62033212175877,"weibull",0.5,100
"29",-0.431082964583688,-0.387266983829356,-0.368723778981674,"weibull",0.5,100
"30",-0.243531736464733,-0.228945006741902,-0.229580906613089,"weibull",0.5,100
"31",0.525739131112385,0.509867156104769,0.508333411962497,"weibull",0.5,100
"32",-0.588996569424221,-0.579721820858279,-0.573333465012797,"weibull",0.5,100
"33",-0.744160853318914,-0.71785185829266,-0.705784918922079,"weibull",0.5,100
"34",-0.523118150010524,-0.513699512006921,-0.508043509752487,"weibull",0.5,100
"35",-0.0617374820130359,-0.0584849999606257,-0.0561201382242673,"weibull",0.5,100
"36",-0.519355884653666,-0.496197513943973,-0.487610842477149,"weibull",0.5,100
"37",-0.726948322211346,-0.680327481025545,-0.671004584914925,"weibull",0.5,100
"38",-0.61010585837582,-0.594137069485533,-0.589161554763848,"weibull",0.5,100
"39",-1.02885858057982,-0.990523750997076,-0.980721776760546,"weibull",0.5,100
"40",-1.19958792223484,-1.1794696148821,-1.1740512386481,"weibull",0.5,100
"41",-0.368746127944867,-0.365769165154492,-0.355755914575051,"weibull",0.5,100
"42",-0.233051070360334,-0.217814916049833,-0.211606045111592,"weibull",0.5,100
"43",-0.63588283268256,-0.621001176846163,-0.614968011905834,"weibull",0.5,100
"44",-0.932989802453709,-0.899055935153619,-0.902112617141815,"weibull",0.5,100
"45",-0.947204355585631,-0.928930969176571,-0.922440282253567,"weibull",0.5,100
"46",-0.51455864731974,-0.515755509210892,-0.504073633073027,"weibull",0.5,100
"47",0.782470963591183,0.758239253119121,0.748066138443764,"weibull",0.5,100
"48",-0.449082636980804,-0.382534119783453,-0.391015307590346,"weibull",0.5,100
"49",-0.595799034957256,-0.566639312403695,-0.556572037682616,"weibull",0.5,100
"50",0.360405745832565,0.358347498345255,0.356645726252128,"weibull",0.5,100
"51",-1.19437720030085,-1.15445879832455,-1.15091448694879,"weibull",0.5,100
"52",0.767032992950603,0.745714792181268,0.735135466762925,"weibull",0.5,100
"53",-0.430756507345376,-0.425987017157612,-0.425183886090186,"weibull",0.5,100
"54",-0.036029208469151,-0.0302975418470181,-0.0309734141280726,"weibull",0.5,100
"55",-0.0814744102678682,-0.079429688946556,-0.0748365862051946,"weibull",0.5,100
"56",-1.02166259858945,-1.00670116905893,-1.00673465490439,"weibull",0.5,100
"57",0.406870916474103,0.394627164929631,0.401756410706266,"weibull",0.5,100
"58",-0.287726450792695,-0.28749160346953,-0.289831681842186,"weibull",0.5,100
"59",-0.0803433400170045,-0.0831622906329468,-0.0767345713573088,"weibull",0.5,100
"60",-0.394667319349162,-0.369810786635653,-0.374787691048598,"weibull",0.5,100
"61",-0.69631752398306,-0.671828514579196,-0.668064946515244,"weibull",0.5,100
"62",-0.293980635723266,-0.284964075413732,-0.281207437488548,"weibull",0.5,100
"63",0.0698471000088959,0.0706131687651991,0.0695198353689309,"weibull",0.5,100
"64",-1.29856907321795,-1.27517384907607,-1.28945250968323,"weibull",0.5,100
"65",-0.375964634373215,-0.372860095969249,-0.368355072023373,"weibull",0.5,100
"66",-0.738235613538955,-0.724956790564991,-0.723924641281925,"weibull",0.5,100
"67",0.209169045317938,0.204341808424835,0.199113216100678,"weibull",0.5,100
"68",-2.84777523728722,-2.7973185372921,-2.80312643663113,"weibull",0.5,100
"69",0.281661426618437,0.266119287971697,0.259282448152441,"weibull",0.5,100
"70",0.0860711431255909,0.087174462842467,0.0858749450152902,"weibull",0.5,100
"71",-1.1392076587243,-1.11046969504404,-1.11057554991422,"weibull",0.5,100
"72",-0.888279414792456,-0.871760379564243,-0.86339755036864,"weibull",0.5,100
"73",-0.382827992561725,-0.374453147157948,-0.372818983583398,"weibull",0.5,100
"74",-0.697227753441514,-0.697367702441619,-0.686673713665072,"weibull",0.5,100
"75",0.390883271785305,0.384025281341198,0.393462792936255,"weibull",0.5,100
"76",-1.07320983374471,-1.0555873849546,-1.04230389970371,"weibull",0.5,100
"77",-0.714442739096487,-0.693541675658728,-0.676501035786456,"weibull",0.5,100
"78",0.417226131168099,0.416023567534263,0.399431896932582,"weibull",0.5,100
"79",-0.550657555003676,-0.548510227661838,-0.547818538342185,"weibull",0.5,100
"80",-0.068876971147512,-0.0615818692446641,-0.0604069177684932,"weibull",0.5,100
"81",-1.07572910320707,-1.04583267705422,-1.03647327303075,"weibull",0.5,100
"82",-0.911062474548579,-0.89911922920326,-0.910567521153108,"weibull",0.5,100
"83",0.381601526949422,0.371929531126754,0.377117388170569,"weibull",0.5,100
"84",0.243706525398894,0.23003629234041,0.226307684918899,"weibull",0.5,100
"85",-1.17535464329029,-1.13503381601944,-1.11665727261549,"weibull",0.5,100
"86",-1.25695609572258,-1.22561775057712,-1.22353243367867,"weibull",0.5,100
"87",0.012900857856583,0.00490785415808468,0.00780852528163742,"weibull",0.5,100
"88",-0.444498906797689,-0.430515077066608,-0.436075410116191,"weibull",0.5,100
"89",-0.611810039982778,-0.592604065813701,-0.588163728746935,"weibull",0.5,100
"90",-0.548671169666037,-0.541465619430591,-0.537352702914553,"weibull",0.5,100
"91",-0.728628821851143,-0.706069949483912,-0.713206731339628,"weibull",0.5,100
"92",-0.520766692389063,-0.491316951284812,-0.489646562304378,"weibull",0.5,100
"93",-0.2757803155826,-0.278822697045655,-0.278348558925006,"weibull",0.5,100
"94",-0.584780212726014,-0.568247852572245,-0.557039604245862,"weibull",0.5,100
"95",-0.189673679714899,-0.170858091171516,-0.172086887822858,"weibull",0.5,100
"96",0.884686170126053,0.856730423322947,0.848082514906291,"weibull",0.5,100
"97",0.379308287133627,0.362176372969733,0.35915792172094,"weibull",0.5,100
"98",-0.638219420796624,-0.608741311306163,-0.596128900766826,"weibull",0.5,100
"99",-0.232590188501248,-0.230390307417718,-0.224672041256893,"weibull",0.5,100
"100",-1.09394105586306,-1.07578548147352,-1.08647858220751,"weibull",0.5,100
"101",-0.241037162653872,-0.218918385438247,-0.206540221864743,"weibull",0.5,100
"102",-0.51522438199222,-0.500828743107302,-0.496024775760432,"weibull",0.5,100
"103",-0.538619540637894,-0.523302088947465,-0.527566083110722,"weibull",0.5,100
"104",-0.139916792468422,-0.141818142087859,-0.138073807470059,"weibull",0.5,100
"105",-1.19933118406775,-1.18192439955203,-1.17635039622936,"weibull",0.5,100
"106",-0.902568184580342,-0.876720483842083,-0.874737103501855,"weibull",0.5,100
"107",-0.736930354462891,-0.706581463341366,-0.71068845056223,"weibull",0.5,100
"108",-0.537643969414856,-0.531706132746478,-0.526550123588076,"weibull",0.5,100
"109",-0.464702664967852,-0.454588545039868,-0.448895904138064,"weibull",0.5,100
"110",-0.227062466658718,-0.226168364961087,-0.223250877209447,"weibull",0.5,100
"111",-0.0673288029960528,-0.0650141798144038,-0.0688581326449067,"weibull",0.5,100
"112",-1.20171626630283,-1.18343242450795,-1.18152013761156,"weibull",0.5,100
"113",0.321093641995877,0.304541373859336,0.296632098918392,"weibull",0.5,100
"114",0.647848489990561,0.641077351172374,0.635741827763235,"weibull",0.5,100
"115",-1.07850592051488,-1.05340635160417,-1.04822661463168,"weibull",0.5,100
"116",-1.06499304965877,-1.03346701455745,-1.03209854777144,"weibull",0.5,100
"117",-0.23156918550411,-0.227023621294976,-0.228727873124016,"weibull",0.5,100
"118",-1.06269046912838,-1.04705240748043,-1.04145996942816,"weibull",0.5,100
"119",-2.14910297662486,-2.09169066472909,-2.09959447712043,"weibull",0.5,100
"120",-0.480141308257493,-0.467336882507346,-0.461016532161419,"weibull",0.5,100
"121",-0.460155600128276,-0.437398553820102,-0.440505712672832,"weibull",0.5,100
"122",-1.08029323510056,-1.02888500847771,-1.00757880211825,"weibull",0.5,100
"123",-0.0850465187581339,-0.0872126850600552,-0.0884794341034729,"weibull",0.5,100
"124",-0.597537317681783,-0.574487648092436,-0.566404037790983,"weibull",0.5,100
"125",-0.403029838656795,-0.382990552671398,-0.373881592893207,"weibull",0.5,100
"126",-0.17887276944558,-0.17203742728044,-0.176534425807331,"weibull",0.5,100
"127",-0.397962185271113,-0.39481940794997,-0.398103458744242,"weibull",0.5,100
"128",0.00610102108883088,0.0103271618136108,0.00342346727684823,"weibull",0.5,100
"129",0.0053729415382769,0.0012200436103182,0.00444834730135806,"weibull",0.5,100
"130",-0.148917998640881,-0.146696491975485,-0.151665307178097,"weibull",0.5,100
"131",-1.32990649961265,-1.25922887368838,-1.2539968509824,"weibull",0.5,100
"132",-0.707821170714507,-0.696281111297898,-0.687204744263521,"weibull",0.5,100
"133",-1.56085632436802,-1.52517101100458,-1.51888899828165,"weibull",0.5,100
"134",-0.101977985423703,-0.101301242928787,-0.101007566079192,"weibull",0.5,100
"135",0.44075668051396,0.439855385664724,0.436917398334911,"weibull",0.5,100
"136",0.0727476565650751,0.0741228626199188,0.0714529849762371,"weibull",0.5,100
"137",-0.935397884779081,-0.8988952534729,-0.894307821510304,"weibull",0.5,100
"138",-0.554772322698853,-0.541141003549288,-0.534311633342624,"weibull",0.5,100
"139",-0.966702571899243,-0.939102054154579,-0.938528840975943,"weibull",0.5,100
"140",-0.414608032045613,-0.392811314543617,-0.382307112140297,"weibull",0.5,100
"141",-0.762888640919043,-0.7522092894602,-0.738377776142941,"weibull",0.5,100
"142",-0.393662044273562,-0.387452948031023,-0.388750017264869,"weibull",0.5,100
"143",-1.04090489395048,-1.0170039149651,-1.00100876294072,"weibull",0.5,100
"144",-0.798249555519158,-0.777389696257294,-0.768295103238822,"weibull",0.5,100
"145",0.219309610238824,0.213515376048366,0.211271356946724,"weibull",0.5,100
"146",-1.09736819429321,-1.0652645819287,-1.05268713681743,"weibull",0.5,100
"147",-1.54075818397763,-1.50781305845393,-1.50964766125162,"weibull",0.5,100
"148",-1.36682137563854,-1.36071928845933,-1.35374585024053,"weibull",0.5,100
"149",-1.4888389667225,-1.45426230470348,-1.43617614242957,"weibull",0.5,100
"150",-0.818304524072767,-0.808476155237914,-0.800724773985471,"weibull",0.5,100
"151",-1.06084012931513,-1.00474571897807,-0.999259844428528,"weibull",0.5,100
"152",-0.829609738285202,-0.778923785852104,-0.756738167342863,"weibull",0.5,100
"153",-0.443570360676883,-0.429701624607898,-0.427465705842089,"weibull",0.5,100
"154",-0.312627037042101,-0.295331144506719,-0.292847763291042,"weibull",0.5,100
"155",-0.358093186832045,-0.355962651581745,-0.3512491990226,"weibull",0.5,100
"156",-1.78666203076021,-1.71286280282068,-1.7083838380517,"weibull",0.5,100
"157",-1.05674069307433,-1.0215114246274,-1.00677332655735,"weibull",0.5,100
"158",0.123711887960299,0.122892146158379,0.115208311347305,"weibull",0.5,100
"159",-0.408056045216263,-0.399142706543555,-0.392514640808302,"weibull",0.5,100
"160",-1.08708592039443,-1.08045069541544,-1.06061707589352,"weibull",0.5,100
"161",-0.854896799225721,-0.809263284323474,-0.808104220110609,"weibull",0.5,100
"162",0.048555308907226,0.0521225844487945,0.0502889539142878,"weibull",0.5,100
"163",-0.718197869899599,-0.703787032913598,-0.70702405276433,"weibull",0.5,100
"164",-0.766144733893585,-0.73994030591647,-0.735686567481355,"weibull",0.5,100
"165",-0.997194276324723,-0.981167616841906,-0.982566589663008,"weibull",0.5,100
"166",-0.64277948239977,-0.622827882152453,-0.619864924465781,"weibull",0.5,100
"167",-1.23258988516291,-1.18215844539037,-1.1733540719481,"weibull",0.5,100
"168",-0.235439039771852,-0.219642099351344,-0.224405341827433,"weibull",0.5,100
"169",-0.31500148787138,-0.307525849153334,-0.311695170648331,"weibull",0.5,100
"170",-1.38668209424227,-1.34595930060406,-1.32551238579588,"weibull",0.5,100
"171",-0.152288350162042,-0.152479907562813,-0.149327549175558,"weibull",0.5,100
"172",-0.49591558086326,-0.494719079194935,-0.492338457869951,"weibull",0.5,100
"173",0.0529016564455452,0.0569769931318968,0.0556173934450993,"weibull",0.5,100
"174",-0.691372453150503,-0.67679164828338,-0.669271514921377,"weibull",0.5,100
"175",-0.0196357219102564,-0.0130732735785326,-0.0119602622801207,"weibull",0.5,100
"176",0.237146553514827,0.232881948156653,0.231238179809266,"weibull",0.5,100
"177",-0.29118649855355,-0.27626178618291,-0.28937852114605,"weibull",0.5,100
"178",-1.65437306199992,-1.61638578574718,-1.59748314813857,"weibull",0.5,100
"179",-0.0842584894020068,-0.0884771164748938,-0.0907354310563433,"weibull",0.5,100
"180",-0.678044379217655,-0.671339586382501,-0.66714834415182,"weibull",0.5,100
"181",0.57421239410172,0.566825644705165,0.562878444811693,"weibull",0.5,100
"182",-0.187166928189829,-0.178646226800127,-0.1767368050817,"weibull",0.5,100
"183",-1.7520266729517,-1.72128495458902,-1.69786145770516,"weibull",0.5,100
"184",-0.138559007035477,-0.135120151245459,-0.120875722526296,"weibull",0.5,100
"185",-0.41964787501501,-0.407740606840302,-0.408654098361236,"weibull",0.5,100
"186",0.0162907222282106,0.0165079183721192,0.022731620041145,"weibull",0.5,100
"187",-0.416878803702579,-0.416469302469722,-0.416610648630115,"weibull",0.5,100
"188",-0.488273119840204,-0.485601239684181,-0.487784539774622,"weibull",0.5,100
"189",-0.819511475764576,-0.803346342753501,-0.803091878344614,"weibull",0.5,100
"190",-0.207488936738815,-0.208909789070423,-0.21033733129289,"weibull",0.5,100
"191",0.475882398641425,0.45899969998144,0.436918972472314,"weibull",0.5,100
"192",-0.121104867276353,-0.118976058297388,-0.11083600378105,"weibull",0.5,100
"193",-1.03442460634292,-1.01249508917074,-0.997189104510487,"weibull",0.5,100
"194",-0.599813171866673,-0.574061546740912,-0.573372278525661,"weibull",0.5,100
"195",-0.628465808779739,-0.608664719960706,-0.600925020240925,"weibull",0.5,100
"196",-0.574559060843094,-0.565765562353755,-0.562971236451633,"weibull",0.5,100
"197",-0.507213170421148,-0.487536361258827,-0.473861036467082,"weibull",0.5,100
"198",-0.553027243387254,-0.528793252000805,-0.519825822917379,"weibull",0.5,100
"199",-0.603731030182494,-0.568372566720956,-0.558749793455217,"weibull",0.5,100
"200",-0.488374506354825,-0.462112268492195,-0.461852917949138,"weibull",0.5,100
"201",-1.1304604774435,-1.08339492855088,-1.07269940722299,"weibull",0.5,100
"202",0.0176899015583629,0.0121524869545057,0.0134320509573378,"weibull",0.5,100
"203",-0.575027078958722,-0.569180867026033,-0.561501421933183,"weibull",0.5,100
"204",0.242704023845674,0.240726898441704,0.245631664890397,"weibull",0.5,100
"205",-1.07151571060645,-1.04510446961235,-1.04161771471615,"weibull",0.5,100
"206",-0.658124512203109,-0.636562785793658,-0.642558890012714,"weibull",0.5,100
"207",0.486228053038098,0.478072217288257,0.470259646301016,"weibull",0.5,100
"208",-1.91560552756313,-1.85008866006094,-1.8399144302579,"weibull",0.5,100
"209",0.501006077422118,0.49260465554541,0.49028243585508,"weibull",0.5,100
